Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2016,"Cum 2016, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2015,"Total cases reported  2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",States reporting cases during current week (No.) 
Anthrax,2016,1,,-,,-,,-,,-,,-,,-,,-,1,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,24,,-,8,,0,,29,,40,,31,,30,,14,,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,27,,-,2,,,-,1,,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,19,,-,67,,4,,146,,128,,141,,115,,93,,
"Syphilis, congenital††††",2016,12,,-,51,,7,,433,,458,,348,,322,,360,,
Novel influenza A virus infections¶¶¶,2016,47,,-,22,,0,,7,,3,,21,,313,,14,,
"Influenza-associated pediatric mortality**,†††",2016,12,3,,27,,4,,130,,141,,160,,52,,118,,"FL (2 ), CA (1 )"
"Influenza-associated pediatric mortality**,†††",2016,5,2,,5,,6,,130,,141,,160,,52,,118,,"IL (1 ), MI (1 )"
"Botulism, total",2016,1,,-,,-,3,,178,,161,,152,,168,,153,,
"Botulism, foodborne",2016,1,,-,,-,0,,40,,15,,4,,27,,24,,
"Botulism, infant",2016,1,,-,,-,2,,119,,127,,136,,123,,97,,
"Botulism, other (wound and unspecified)",2016,1,,-,,-,0,,19,,19,,12,,18,,32,,
Brucellosis,2016,1,,-,,-,2,,118,,92,,99,,114,,79,,
Chancroid,2016,1,,-,,-,0,,17,,,-,,-,15,,8,,
Cholera,2016,1,,-,,-,1,,1,,5,,14,,17,,40,,
Cyclosporiasis**,2016,1,1,,1,,2,,609,,388,,784,,123,,151,,NYC (1 )
Diphtheria,2016,1,,-,,-,0,,,-,1,,,-,1,,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,35,,-,96,,2,,175,,128,,141,,115,,93,,
"Meningococcal disease, invasive¶¶¶, serogroup B",2016,5,,-,5,,3,,85,,89,,99,,110,,159,,
"Q fever, chronic**",2016,48,1,,21,,0,,34,,36,,33,,22,,24,,MT (1 )
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,26,5,,1074,,0,,,NN,,NN,,NN,,NN,,NN,"PA (1 ), GA (1 ), FL (1 ), MS (1 ), CA (1 )"
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,32,,-,2,,0,,1,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,47,,-,9,,,-,23,,10,,1,,3,,6,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,1,,-,,-,0,,12,,32,,21,,30,,23,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,1,2,,2,,3,,232,,250,,329,,274,,290,,"NYC (1 ), SC (1 )"
"Hepatitis B, virus infection perinatal",2016,1,,-,,-,1,,27,,47,,48,,40,,,NP,
"Influenza-associated pediatric mortality**,***",2016,1,1,,1,,4,,130,,141,,160,,52,,118,,PR (1 )
Leptospirosis**,2016,1,,-,,-,0,,28,,38,,,NN,,NN,,NN,
Listeriosis,2016,1,2,,2,,12,,690,,769,,735,,727,,870,,"PA (1 ), FL (1 )"
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,49,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,49,,-,126,,4,,175,,128,,141,,115,,93,,
Smallpox,2016,49,,-,,-,,-,,-,,-,,-,,-,,-,
