Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2017,"Cum 2017, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2016,"Total cases reported  2016, flag",Total cases reported 2015,"Total cases reported 2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",States reporting cases during current week (No.) 
Anthrax,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017,1,,-,,-,6,,167,,896,,,NN,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,1,,-,,-,0,,6,,6,,8,,8,,15,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,1,,-,,-,,-,4,,11,,11,,22,,2,,
"Arboviral diseases¶,** La Crosse virus disease",2017,1,,-,,-,,-,34,,55,,80,,85,,78,,
"Arboviral diseases¶,** Powassan virus disease",2017,1,,-,,-,,-,13,,7,,8,,12,,7,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,1,,-,,-,,-,9,,23,,10,,1,,3,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2017,1,,-,,-,3,,177,,195,,161,,152,,168,,
"Botulism, foodborne",2017,1,,-,,-,0,,33,,37,,15,,4,,27,,
"Botulism, infant",2017,1,,-,,-,2,,121,,138,,127,,136,,123,,
"Botulism, other (wound and unspecified)",2017,1,,-,,-,0,,23,,20,,19,,12,,18,,
Brucellosis,2017,1,,-,,-,2,,116,,126,,92,,99,,114,,
Chancroid,2017,1,,-,,-,0,,10,,11,,,-,,-,15,,
Cholera,2017,1,,-,,-,0,,14,,5,,5,,14,,17,,
Cyclosporiasis**,2017,1,,-,,-,2,,490,,645,,388,,784,,123,,
Diphtheria,2017,1,,-,,-,,-,,-,,-,1,,,-,1,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,1,,-,,-,1,,22,,29,,40,,31,,30,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,1,,-,,-,5,,142,,175,,128,,141,,115,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,1,1,,1,,2,,123,,135,,266,,233,,263,,NE (1 )
